"In silico optimized sensors","Original sensors"
0.46504185,0.24925932
0.65819915,0.04139201
0.33784998,0.33333333
0.50091256,0.47687214
0.51081672,0.05358725
0.50383824,0.23954574
0.52349977,0.12031839
0.61108990,0.40357767
0.62050805,0.36433395
0.55354581,0.00625152
0.50975728,0.42139828
0.52834082,0.29637239
0.41198794,0.37503431
0.33113855,0.60218336
0.50998617,0.52138598
0.61647687,-0.04286330
0.51759552,0.22279024
0.55750143,0.84062633
0.57449839,0.02479179
0.53969100,0.74778199
0.39993540,0.23283470
0.50685316,0.38756099
0.43975270,0.71700025
0.55049023,0.06735649
0.47990299,0.01447730
0.55447254,0.38231331
0.59566870,0.85398499
0.34695732,0.03144821
0.56802274,0.44302941
0.54146783,-0.00710630
0.46108454,0.38221305
0.54766724,0.30229517
0.62539744,-0.06316450
0.16512191,0.78447175
0.61786356,0.89347447
0.38633230,0.18080080
0.30451799,0.13047909
0.49928504,0.11453875
0.58471081,0.40327161
0.34439623,-0.13785590
0.39108763,0.96720244
0.46407000,0.29065641
0.43461454,0.15152754
0.46858308,0.50595685
0.44962652,0.00000000
0.44472608,-0.24924410
0.56600891,-0.12340330
0.52009202,0.34717572
0.61811194,0.42305311
0.70051077,0.44417560
0.45595824,0.20798987
0.57455402,0.35121589
0.43361841,0.67972476
0.58608226,0.32321746
0.66127549,-0.08494300
0.54351207,0.02070911
0.34320784,-0.11849170
0.43530319,0.39651980
0.59974040,-0.00468930
0.58768521,0.08631900
0.58358669,0.04015092
0.47412881,0.16475425
0.57715972,0.20021640
0.69517952,0.20744401
0.56548505,0.19729955
0.57239216,0.15351040
0.52913321,0.18567347
0.42346008,0.09758200
0.43415815,0.21723885
0.42331905,0.05894746
0.50446557,0.02965233
0.52945894,0.29444183
0.39703448,0.33171895
0.36523804,0.04126297
0.54972375,0.10180334
0.59082917,0.55956874
0.65859554,0.22324227
0.50711396,-0.41062300
0.55950752,0.75611886
0.41981059,0.57196765
0.34542023,0.90582167
0.53193949,0.14925839
0.40482008,0.11793858
0.35201746,0.07611723
0.64551569,0.00108050
0.44570900,-0.10622080
0.34082931,-0.01724730
0.38147019,0.50553707
0.44069965,0.19069080
0.47964168,0.28313173
0.40373287,-0.06343480
0.42519751,
0.51455254,
0.29681706,
0.43081763,
0.49638591,
0.55425761,
0.50984049,
0.29341358,
0.65743774,
0.53530794,
0.57148867,
0.43512828,
0.62902040,
0.58635687,
0.63645623,
0.45074732,
0.18368985,
0.37102192,
0.34572218,
0.52205886,
0.40301742,
0.67326760,
0.32623936,
0.47587785,
0.65936330,
0.47318614,
0.34708655,
0.62892529,
0.49617731,
0.47178719,
0.33484111,
0.39055745,
0.47215850,
0.50940292,
0.48275867,
0.52137724,
0.45124706,
0.49203774,
0.43251656,
0.46984307,
0.60095219,
0.45265850,
0.55400294,
0.57069654,
0.56757400,
0.63923570,
0.58278592,
0.36349170,
0.45333731,
0.38029295,
0.45574897,
0.39558777,
0.34814950,
0.51179421,
0.58150450,
0.39037515,
0.60037029,
0.31255716,
0.63125968,
0.49818530,
0.58282435,
0.59505561,
0.54961990,
0.44894752,
0.60984381,
0.43801100,
0.42811817,
0.64001225,
0.66792023,
0.50297757,
0.53297049,
0.53153716,
0.46320937,
0.63390726,
0.47675080,
0.51166065,
0.46839021,
0.60658399,
0.55610486,
0.47132925,
0.36076364,
0.57350062,
0.46763193,
0.45159375,
0.42688145,
0.45640476,
0.52791053,
0.59401990,
0.53693321,
0.46761914,
0.64235393,
0.54487323,
0.39800807,
0.45877850,
0.59734854,
0.61172602,
0.51571203,
0.61480683,
0.48031536,
0.39630164,
0.49581329,
0.52055503,
0.64973692,
0.40535470,
0.36029810,
0.59314459,
0.39947564,
0.51620616,
0.53588335,
0.51250513,
0.62595056,
0.57164222,
0.60927321,
0.51266726,
0.54213746,
0.52080135,
0.37266873,
0.61430293,
0.43187223,
0.62489470,
0.49956733,
0.54855150,
0.43096384,
0.55266225,
0.30196202,
0.66710849,
0.49713609,
0.39648712,
0.47928640,
0.53775656,
0.45270252,
0.55754199,
0.50649762,
0.48131842,
0.59916467,
0.36268148,
0.42097588,
0.49846930,
0.48681679,
0.37076235,
0.47740368,
0.44178470,
0.47023365,
0.65719800,
0.27362305,
0.56231243,
0.55049055,
0.53042696,
0.57315810,
0.38612221,
0.34650647,
0.48024310,
0.28186522,
0.70398356,
0.60532943,
0.71117927,
0.39399654,
0.60692780,
0.61587858,
0.65517206,
0.51673392,
0.51731454,
0.35511786,
0.46619153,
0.52250573,
0.43252616,
0.37138896,
0.42223743,
0.53120730,
0.31053687,
0.52237948,
0.58975780,
0.39285060,
0.38021504,
0.43293817,
0.49985578,
0.38341865,
0.47691930,
0.64986288,
0.39646322,
0.59782151,
0.60277949,
0.47246318,
0.42195910,
0.50901681,
0.51879698,
0.46445030,
0.42979654,
0.43244210,
0.56524749,
0.59907794,
0.57710236,
0.51436573,
0.56484610,
0.49495387,
0.45105966,
0.57917833,
0.62468135,
0.66693902,
0.43691910,
0.45095336,
0.41038188,
0.52241996,
0.31436833,
0.61565770,
0.46798126,
0.53361803,
0.41618578,
0.58581478,
0.23572810,
0.48993717,
0.57085692,
0.56024904,
0.66778745,
0.58781093,
0.47943254,
0.58859461,
0.48372456,
0.50852528,
0.36039534,
0.29220228,
0.44648600,
0.49536995,
0.43292593,
0.34644299,
0.42298566,
0.59721351,
0.60950829,
0.44827564,
0.43030554,
0.63246638,
0.38518457,
0.40216937,
0.40769934,
0.33190990,
0.50690144,
0.25168836,
0.46798464,
0.54671964,
0.45163947,
0.37124264,
0.48727813,
0.39985598,
0.59049992,
0.52925039,
0.46961040,
0.37941025,
0.69059617,
0.55606258,
0.41150958,
0.56559592,
0.51184381,
0.51184100,
0.53065402,
0.50751927,
0.46033763,
0.53752228,
0.44869052,
0.55655872,
0.40680239,
0.55171859,
0.55189028,
0.67032370,
0.60729669,
0.52667614,
0.42606044,
0.59101253,
0.62607201,
0.57470587,
