,Toehold,Toehold,Toehold,Toehold,Toehold,"Shuffled Toehold k-mers","Shuffled Toehold k-mers","Shuffled Toehold k-mers","Shuffled Toehold k-mers","Shuffled Toehold k-mers","Scrambled Toehold Sequence","Scrambled Toehold Sequence","Scrambled Toehold Sequence","Scrambled Toehold Sequence","Scrambled Toehold Sequence"
"Toehold LM",0.49089640926449,0.50186905213158,0.50098531858239,0.50077252603795,0.49516277662450,0.07568710559879,0.08993290127147,0.07891894183142,0.08822905652243,0.08275738958258,0.05356150712163,0.04517177798205,0.05486467351868,0.04588871389891,0.05455470380797
"Shuffled Toehold LM",0.14934954000000,0.12397519000000,0.12915479000000,0.13385524000000,0.13163542000000,0.02885096000000,0.05450089000000,0.05058856000000,0.05058856000000,0.05689840000000,0.02694788000000,0.01555915000000,0.02825260000000,0.02650083000000,0.02484006000000
"Scrambled Toehold LM",0.06636167000000,0.08557808000000,0.07614086000000,0.05635973000000,0.08569114000000,0.03142674000000,0.03450342000000,0.03125160000000,0.01844735000000,0.04677500000000,0.00381622000000,0.01404950000000,0.01906042000000,0.00710351000000,0.02400812000000
