1.311897188425064087e-01,3.622012138366699219e-01,3.479914873637598438e-01,5.614446476101875305e-02,1.760678738355636597e-01
1.063589155673980713e-01,3.261271417140960693e-01,2.585849550942895259e-01,4.754597321152687073e-02,1.729208081960678101e-01
2.516884729266166687e-02,1.586469262838363647e-01,2.306780464675201037e-01,2.605776675045490265e-02,1.251115500926971436e-01
3.641273677349090576e-01,6.034296751022338867e-01,5.841977367858257608e-01,3.086481615900993347e-02,1.335563957691192627e-01
2.720599770545959473e-01,5.215936899185180664e-01,3.757927811710770616e-01,3.981062397360801697e-02,1.451181769371032715e-01
3.351663947105407715e-01,5.789355635643005371e-01,5.076467137038155331e-01,4.736435040831565857e-02,1.616652607917785645e-01
2.703909277915954590e-01,5.199912786483764648e-01,5.893581289415579239e-01,6.118182837963104248e-02,1.650439351797103882e-01
3.611710667610168457e-01,6.009750962257385254e-01,6.609365784443651526e-01,6.497107446193695068e-02,1.769224554300308228e-01
3.167320191860198975e-01,5.627894997596740723e-01,5.097854057430869501e-01,7.086879760026931763e-02,1.949891597032546997e-01
5.252921208739280701e-02,2.291925251483917236e-01,3.033607971661785863e-01,6.310155242681503296e-02,1.926635205745697021e-01
